geoid,Zip_Code,Median_Income
86000US11237,11237,51413
86000US11238,11238,85407
86000US11239,11239,27104
86000US11354,11354,42500
86000US11355,11355,39207
86000US11356,11356,60493
86000US11357,11357,83951
86000US11358,11358,66129
86000US11360,11360,86174
86000US11361,11361,85887
86000US11362,11362,89185
86000US11363,11363,104792
86000US11364,11364,76988
86000US11365,11365,66483
86000US11366,11366,78990
86000US11367,11367,57933
86000US11368,11368,50797
86000US11369,11369,54121
86000US11370,11370,65098
86000US11372,11372,56383
86000US11373,11373,51183
86000US11374,11374,63161
86000US11375,11375,80542
86000US11377,11377,57010
86000US11378,11378,73333
86000US11379,11379,82819
86000US11385,11385,72261
86000US11411,11411,93882
86000US11412,11412,78517
86000US11413,11413,86324
86000US11414,11414,71648
86000US11415,11415,68294
86000US11416,11416,67461
86000US11417,11417,73424
86000US11418,11418,66570
86000US11419,11419,70882
86000US11420,11420,67932
86000US11421,11421,72066
86000US11422,11422,89235
86000US11423,11423,70266
86000US11426,11426,88803
86000US11427,11427,74581
86000US11428,11428,73699
86000US11429,11429,83240
86000US11432,11432,55906
86000US11433,11433,51521
86000US11434,11434,62207
86000US11435,11435,64086
86000US11436,11436,75242
86000US11501,11501,96079
86000US11507,11507,129613
86000US11509,11509,141250
86000US11510,11510,108761
86000US11514,11514,89074
86000US11516,11516,107440
86000US11518,11518,100082
86000US11520,11520,76388
86000US11530,11530,160598
86000US11542,11542,78339
86000US11545,11545,160464
86000US11547,11547,81500
86000US11548,11548,133699
86000US11550,11550,64097
86000US11552,11552,117069
86000US11553,11553,73424
86000US11554,11554,105192
86000US11557,11557,126287
86000US11558,11558,90753
86000US11559,11559,108750
86000US11560,11560,129250
86000US11561,11561,96163
86000US11563,11563,97169
86000US11565,11565,120890
86000US11566,11566,149367
86000US11568,11568,192266
86000US11569,11569,153398
86000US11570,11570,118309
86000US11572,11572,115096
86000US11575,11575,80574
86000US11576,11576,162715
86000US11577,11577,139896
86000US11579,11579,121354
86000US11580,11580,109470
86000US11581,11581,108800
86000US11590,11590,102789
86000US11596,11596,126017
86000US11598,11598,141088
86000US11691,11691,46147
86000US11692,11692,44024
86000US11693,11693,59431
86000US11694,11694,80976
86000US11697,11697,103580
86000US11701,11701,82983
86000US11702,11702,123929
86000US11703,11703,99189
86000US11704,11704,90089
86000US11705,11705,108664
86000US11706,11706,86808
86000US11709,11709,105469
86000US11710,11710,132281
86000US11713,11713,73380
86000US11714,11714,106693
86000US11715,11715,119344
86000US11716,11716,90830
86000US11717,11717,76767
86000US11718,11718,122857
86000US11719,11719,87813
86000US11720,11720,106013
86000US11721,11721,139226
86000US11722,11722,69360
86000US11724,11724,250001
86000US11725,11725,128369
86000US11726,11726,73720
86000US11727,11727,82468
86000US11729,11729,89858
86000US11730,11730,122646
86000US11731,11731,117068
86000US11732,11732,116786
86000US11733,11733,146802
86000US11735,11735,105454
86000US11738,11738,105182
86000US11739,11739,142917
86000US11740,11740,112500
86000US11741,11741,105410
86000US11742,11742,101012
86000US11743,11743,123071
86000US11746,11746,111002
86000US11747,11747,122964
86000US11749,11749,95379
86000US11751,11751,104381
86000US11752,11752,107470
86000US11753,11753,168627
86000US11754,11754,105500
86000US11755,11755,109490
86000US11756,11756,120805
86000US11757,11757,87225
86000US11758,11758,114681
86000US11762,11762,126693
86000US11763,11763,87500
86000US11764,11764,123149
86000US11765,11765,237813
86000US11766,11766,117283
86000US11767,11767,121968
86000US11768,11768,126841
86000US11769,11769,95987
86000US11770,11770,120625
86000US11771,11771,124659
86000US11772,11772,75856
86000US11776,11776,100350
86000US11777,11777,112372
86000US11778,11778,92731
86000US11779,11779,93777
86000US11780,11780,120595
86000US11782,11782,111581
86000US11783,11783,128015
86000US11784,11784,91162
86000US11786,11786,127092
86000US11787,11787,125369
86000US11788,11788,109036
86000US11789,11789,98148
86000US11790,11790,137090
86000US11791,11791,168902
86000US11792,11792,134803
86000US11793,11793,130957
86000US11795,11795,115506
86000US11796,11796,101250
86000US11797,11797,169099
86000US11798,11798,79771
86000US11801,11801,106151
86000US11803,11803,144444
86000US11804,11804,133281
86000US11901,11901,63461
86000US11930,11930,100474
86000US11932,11932,104444
86000US11933,11933,64042
86000US11934,11934,93512
86000US11935,11935,94221
86000US11937,11937,101723
86000US11939,11939,80694
86000US11940,11940,102397
86000US11941,11941,109545
86000US11942,11942,86890
86000US11944,11944,61250
86000US11946,11946,79516
86000US11948,11948,132813
86000US11949,11949,95851
86000US11950,11950,79149
86000US11951,11951,66057
86000US11952,11952,92045
86000US11953,11953,72733
86000US11954,11954,95278
86000US11955,11955,62105
86000US11956,11956,64917
